localword,words,type
dulle_0,"['Early layover at Dulles Airport.... This place is basically empty! @… https://t.co/btjNFCjl13', 'Dulles monster truck RV gate shuttles are weird.', 'Fun times golfing with the big kids today @ Dulles Golf Center &amp; Sports Park https://t.co/C8cicECk9q', ""It's me or the fly!! (at @BedBathBeyond in Dulles, VA) https://t.co/rxV6S2Xswe https://t.co/qqd1wwm5Ia"", 'Dulles is not our bae. Come back soon beautiful tropical fish. ? @ IAD - Washington Dulles… https://t.co/6R4k3rLEPo', ""If you're looking for work in #Dulles, VA, check out this #job: https://t.co/0YKLVsPvFu #Cosmetology #Hiring #CareerArc"", 'Flying with a toddler is so much more work, but it makes TSA a lot friendlier. (at @dulles_airport in Dulles, VA) https://t.co/ZMBZLNeDRf', 'Phone art.  #doodling again.  Loving this  #note7 @ Dulles, Virginia https://t.co/XbRQKW3BQp', 'Interested in a #job in #Dulles, Virginia? This could be a great fit: https://t.co/MLpZNLCglY #Retail #Hiring https://t.co/9ZBD1u9rM6', ""Can you recommend anyone for this #job? Retail Sales - Women's Shoes - https://t.co/iRRExP9Hno #Retail #Dulles, Virginia #Hiring #CareerArc"", 'Accident, shoulder blocked in #Reston on Dulles Toll Rd WB between Reston Pkwy and VA-286, jammed back to Spg Hl Rd, delay of 18 mins', 'Relaxing in the Virgin Atlantic lounge in the Dulles airport with champagne. Waiting for our… https://t.co/AJYvKjFey4']",topic 9
dumbo_0,"['Tulita and friends are in DUMBO. Visit us at the @bkflea until 6pm. We have some beautiful green… https://t.co/oqzS6ZL97f', 'NY I ??You! With @m_i_allen #NYC #loveNY #travel #brooklyn #empirestate @ DUMBO, Brooklyn Bridge… https://t.co/4F4ycxyoXX', '#OY #YO #sign in #Brooklyn #NYC #EastRiver #ManhattanBridge #NikonD810 @ DUMBO, Brooklyn Bridge… https://t.co/TbDUr2pC4T', ""At the Brooklyn Flea at DUMBO and I mean, if they don't post it on social media, did it really… https://t.co/iCtOStvhM7"", ""With great alums Dan Macht and Rosaleen Ortiz at CUNY's Container in Photoville @ DUMBO,… https://t.co/vV5tDjLTcO"", ""It's only been 1 week, but I've missed you! #NYC #manhattanbridge #brooklyn #DUMBO @ DUMBO,… https://t.co/lL0bJHYumg"", ""?23?Here's to another year. Thanks everyone for making today special. ??? #newyork #dumbo… https://t.co/gNeW9OUWXb"", ""Because i'm happy ? if you know what happiness is to you ?#dumbo #brooklynbridge @ Empire -… https://t.co/MhfPTX3GHs"", 'A #tbt of music #Legends at #photoville last year. #nyc @ DUMBO, Brooklyn https://t.co/BcZFTGikvK', 'In London but still thinking about NYC ? @ DUMBO, Brooklyn https://t.co/PxvveVZVy8', '#tbt to one of my dopest holidays #Brooklyn #ManhattanBridge #DUMBO #Farah #Adidas… https://t.co/eNv0S11RSO', 'Test my new #iphone7plus at the office. #dumbo #iphoneology #streetzen #evening #beertime… https://t.co/L61RRdtqjM', 'Mesmerizing. @ DUMBO, Brooklyn Bridge Water Front https://t.co/CG19p6qatF', 'Dumbo? @ The Brooklyn Bridge New York City https://t.co/onu8PRgduD']",topic 21
duquesne university_0,"['the best duo in the league @ Duquesne University https://t.co/18wOjpGUJh', 'number one school ft. my number one friend @ Duquesne University https://t.co/pQ5aio89WL', 'Live it, love it, Alpha phi ? #duqalphaphi @ Duquesne University https://t.co/LNi7fs0eqy', ""Little mans first day in the young toddler room! Don't grow up too fast... @ Duquesne University https://t.co/2fqFPY7tgp"", 'Every girl crazy bout a sharp dressed man #abercrombie @ Duquesne University https://t.co/WlMsh9P8gh', ""Go roomie, that's my roomie ? @ Duquesne University https://t.co/MiNatezCW4"", 'Delta chi stands up against hazing ? #StandUpToHazing @ Duquesne University https://t.co/UoxCmPweX5', 'Big and Little // Bass and Treble \r\n#ShowChoir @ Duquesne University https://t.co/gUIv64xw6g', ""Just feel that spirit wiggling 'round inside ja @ Duquesne University https://t.co/WkdvtaRJMS""]",topic 27
dym100_0,"['Ready to Party #dym100 with rickbarry3 @t00th and @andrewlarsen @ City of Huntington Beach https://t.co/llko3nA1Kx', 'Catching up with these folks! #dym100 @ Portola Coffee Lab https://t.co/VU9aZa6tsS', 'Loving the live taping of the sumer show at #DYM100! @ Mariners Church https://t.co/90k1cqO5hA', '#dym100 #California #selfie #fall #poolside #hoodie #youthministrylife @ Newport Beach, California https://t.co/kYfUJrfbyK', 'Listening to @dougfields talk about THE PRIVATE LIFE OF A PUBLIC LEADER #dym100 @ Mariners Church https://t.co/We7uvjEtwg']",topic 0
east river_1,"['bye bye concrete jungle. you have been so good to us. @ East River… https://t.co/NcsSP9pkeU', 'New commute over the old run path! #thinkingofoldfriends @ East River Run Path https://t.co/hnHS49B1MR', 'NYPD standing by on the East River amid a new terror threat against #NYC during high-level… https://t.co/Ldjyfi9bi2', ""it's up to you #newyorknewyork ??? @ East River https://t.co/OLGre31pRI"", 'Sunrise over the East River as I travel downtown. #crepuscular #newyork #nofilter @ East River… https://t.co/WtXt4SxCNW', 'I never get tired of this view of the East River in New York...a moment of calm in the craziness… https://t.co/3Vu1RXNN26', 'Just posted a photo @ East river, Manhattan, New York https://t.co/jb74WYqQgY', '""A Summer Send Off"" with our event friends at The Water Club on the East River #Exclusive… https://t.co/YJBGhaz05q', '#LongIslandCity #skyline #storm #darkclouds #coastguard @ East River https://t.co/MJhYGzSIGX']",topic 19
eastbay_0,"['The view from 900 feet us in the Berkeley Hills.\r\n#nofilter #bayarea #eastbay #indiansummer… https://t.co/2J3zH57pFj', 'Life-giving moment. #hudsonjames #emmadawn #children #eastbay @ Totland Park https://t.co/cMuSLOSwva', 'Goodnight jacklondonsq in #Oakland #sunset #nature #beautiful \r\n.\r\n#OakTown #EastBay #winelover… https://t.co/GBXFIxK8tY']",topic 21
eastern market_2,"['This mf slappin lol @ Tailgating At Eastern Market - Lot 1 https://t.co/zqBV0lSttl', 'March to Ford Field. What a bummer of a 4th Quarter. @ Tailgating At Eastern Market - Lot 1 https://t.co/C1yA0CNGZN', ""Thursday night come by 2612 Pierce for an Open House during Eastern Market After Dark! We've… https://t.co/R9Krc15FNT"", 'Mini set up at Eastern Market #easternmarketafterdark #detroit #djs #vinyl @ Eastern Market in… https://t.co/syQMwAB0sA', 'Just posted a photo @ Eastern Market in Downtown Detroit https://t.co/Ph1XdoyVFY', 'Celebration of Architecture 2016 @ Eastern Market Shed 3 https://t.co/Y6F9uSYdha', ""Salikas' @SalikasJewels1 is so glad to see you all tonight at Eastern Market After Dark -… https://t.co/AWke3xXs3p"", 'Eastern Market After Dark #Detroit #artvan #easternmarket  #hipindetroit #hipAF @ Eastern Market… https://t.co/82fkIwIhNo', '#Fashion show and dance in Shed 5, this is so cool. #EasternMarketAfterDark @ Eastern Market… https://t.co/jXVfSqGyqJ', 'Had an amazing time at Eastern Market After Dark with my main @09benmiller (yes these are all… https://t.co/nsOoz7Kydb', 'Fun with event touring the murals at Eastern Market. #muralsinthemarket #doner @ Eastern Market… https://t.co/ESHKNBu5sQ', 'Dancing and fashion in the D. #detroithustlesharder #detroitdesignball @ Eastern Market Shed 5 https://t.co/k2NdYw9gLj']",topic 29
eastern michigan_0,"['Bool\r\n#College #Nike #School #TeamDarkskin #Text #TurnUp #ItsLit #FollowMe #Dt @ Eastern Michigan… https://t.co/mWUFip1p0V', 'Settin up business deals , but Lookin like I just beat a case ? #GodisGood! @ Eastern Michigan… https://t.co/FgNMOdBBDH']",topic 29
eastlosangele_0,"['#GarfieldHighSchool\r\n#DesfileDeIndependenciaDeMexico \r\n#EastLosAngeles @ Cesar Chaves Indipendence… https://t.co/gVj8scuVRk', 'Want to work in #EastLosAngeles, CA? View our latest opening: https://t.co/NAjP9bKy2D #Job #Hospitality #Jobs #Hiring #CareerArc', 'See our latest #EastLosAngeles, CA #job and click to apply: ABA Program Manager - https://t.co/30qlmkZaSy #HealthWelfare #Hiring #CareerArc']",topic 9
eaststlouis_0,"['See our latest #EASTSTLOUIS, IL #job and click to apply: Store Counter Sales - https://t.co/8f8pmGSyfL #Sales #Hiring #CareerArc', ""Want to work at Regions Bank? We're #hiring in #EastStLouis, IL! Click for details: https://t.co/wDOphBHbqb #regions #regionsbank #Banking"", ""We're #hiring! Click to apply: Financial Services Specialist ( Edgemont ) - https://t.co/10cXqnEVWp #Job #regions #Banking #EastStLouis, IL""]",topic 8
eastvillage_0,"['? maffashion_official #eastvillage #newyork #manhattan @ East Village, Manhattan https://t.co/mCmRCurVqt', 'Happy Sunday @thebeannyc #sunday #sundayfunday thanks @thekarihoshi for the photo #eastvillage… https://t.co/xiwIFSyt2A', 'Dreary and overcast. #newyork #newyorkcity #manhattan #alphabetcity #eastvillage #grayclouds… https://t.co/JCRvO0tAUD', 'No plans? We hair 4 u #williamsburg #eastvillage #bushwick #barbers @ Hairrari East Village https://t.co/KRMysiQWuk', 'Is this seat taken? ?\r\n\r\n #HappyHour #MissLilysRumBar #EastVillage #Rum #RumBar #Cocktails #Views… https://t.co/tpxU3bJl9t', ""I'm going to sleep with #derekberg because he captures #eastvillage proper @lovegangnyc… https://t.co/pETYooBBmO"", 'BAO OUT. #parditimeheins #nyc #bigapple #culture #discoballs #art #eastvillage @ BAOHAUS… https://t.co/zH0x9J537T', 'Penguin at the wheel &amp; his ride or die b, Owl, riding shotgun. #eastvillage  #nyc @ East… https://t.co/35VaJsiSds', 'Healthy Heart Smoothie only @thebeannyc #nyucampuscash #monday #eastvillage #nyc #williamsburg… https://t.co/P0T2777oXj', 'Phones are the new mirrors ??? @dl_zkcy #NYC #EASTVILLAGE #CAPUMON #cosplay #pokemon #pokemongo… https://t.co/56WWvECCP7', 'The #empirestatebuilding turning the sky #green tonight. #eastvillage #alphabetcity #manhattan… https://t.co/0rAx9WzFdY', 'G O O D  M O R N I N G ?\r\n\r\n#eastvillage #newyork #riseandshine #worktrip #bermudablogger… https://t.co/5z0ZkujqTQ', 'Welcome home! 315E1215 Beautiful airy #light filled #eastvillage #coop 2bd/1ba 895K gut… https://t.co/760CiswGWG', 'New Products, New Fun @lovegangnyc #streetstyle #streetfashion #eastvillage #nyc @ Love Gang Nyc https://t.co/EhfigkmsJq', ""Film production this morning on our block. #FilmProductionNyc #EastVillage #St.Mark'sPlace… https://t.co/4uC7KyOYAj"", 'East Village street art ? anyone know who is the artist? #love #postnobills #eastvillage #nyc @… https://t.co/Oe6uhHRPVJ', 'NEW NEW NEW BABES?????? #ootd #eastvillage #levis #rails @ Cloak &amp; Dagger https://t.co/0sW76OednF', 'This is terrifying. #graffiti #art #eastvillage #manhattan #nyc #newyorkcity #ny #newyork @ East… https://t.co/YpUUfcoq1l', 'East Village, NYC 2016 #explore #newyork #nyc #eastvillage #les #football #soccer #red #play… https://t.co/8y53ctT26t', 'Good Morning Cutie Pie! #thursday #eastvillage #nyc #williamsburg #brooklyn @cheyennemikayl2… https://t.co/sxWvZJ005o', 'Pretty much. #streetart #streetartnyc #eastvillage #eastvillagenyc #downtown #downtownnycity… https://t.co/uJK9FYvs8W', 'I am a daydreamer.\r\n@\r\n@\r\n#? #nyc #eastvillage #newyorkcity  #empirestate #newyork #midtown #love… https://t.co/bSyAj8yTkE', 'Happy hours are best hours.... ? #tgit #eastvillage #mermaidinn #nyc @ The Mermaid Inn https://t.co/30tWJRfost', 'Getting foxy for fall?????#MissLilysRumBar #EastVillage #IslandVibes #TunUp #Munchies #Cocktails… https://t.co/0QRay40cbj', '#grafitti #eastvillage #noho #lowereastside @ Bowery Grafitti Wall https://t.co/UaMA3qlKDp']",topic 23
eau claire wi_0,"[""Killin itttt @ O'Leary's Pub - Eau Claire WI https://t.co/L9LUAO7IWY"", '?? Take Cover! Severe Thunderstorm Warning continues for Eau Claire WI and Altoona WI until 6:00 PM CDT https://t.co/64BRn8YXSE', '?? Move to higher ground! Flash Flood Warning including Eau Claire WI and Chippewa Falls WI until 11:15 PM CDT https://t.co/edXAbEPRUX']",topic 2
ebike_1,"['Love it! #ebikes #getononenow @ Mandalay Convention Center - Las Vegas Nevada https://t.co/6fYu1doqYs', 'E-bikes a plenty. Many E-bikes compared to just 1 year ago. @ Mandalay Convention Center - Las… https://t.co/d1AqnNT9xx', 'Pretty much sums up interbike. #interbike2016 #ebikes #suckfest #interebike @ Mandalay… https://t.co/Ze9h2uVHjs']",topic 18
echopark_0,"['Back to our favorite park here in LA. #echopark #pokestop #chill @ Echo Park Lake https://t.co/pQZPXEgmlv', ""Come get a LA'MERICANO it's so good and refreshing #echopark #streetlevelcafe #coffee #latte… https://t.co/pwrVREjNl6"", 'Come see what #God is doing at #InsideOutChurch #OpeningSunday #IOLA #EchoPark @ InsideOut… https://t.co/9CYzFtUr50', 'Accident, right lane blocked in #EchoPark on US-101 NB before Hwy 2, stopped traffic back to 60 Fwy, delay of 49 mins #LAtraffic', 'Very quiet night.\r\n#echopark #nightsky #nightshot #noche #moon #cityview #lake #socal #cali… https://t.co/7t4Wj78LVI', '#setlife today just chillin at #EchoPark and riding in #limousines hahah... Last field day of… https://t.co/7yIbWqpceq', 'do not be deceived! #founddog #echopark @ Echo Park, Los Angeles https://t.co/Nmi0qymSvs', 'Tank-top Tuesday ??\r\n?\r\n?\r\n?\r\n#california #losangeles #la #socal #echopark #lake #echolake… https://t.co/tMnxoDZi0u', ""I'm giving you a night call to tell you how I feel.\r\n.\r\n.\r\n.\r\n#losangeles #dtla #echopark #LA… https://t.co/BFMpHaRSNv"", ""Awesome #street #art outside Al's Cycle Shop in #echopark! Thanks for helping us #spreadtheword… https://t.co/GE8Zdyu6PK"", 'Coffee loves company! Join us tonight at 6pm tierramiacoffeecompany in #EchoPark! Hope to see… https://t.co/Ko3eadgKyB', 'Ashley of beautyboxsalon is a genius! Thank you! ????? #BeautyBoxSalon #EchoPark #CutAndColor… https://t.co/P1ZlYwsrRE', 'Ray for the day - the coffer is fresh and so am i - come in #coffee #streetlevelcafe #echopark… https://t.co/FErFdZnvbq', '#echopark #homebuyers set to close #escrow in 5 days and their next door neighbor installing… https://t.co/AKGZz6bTnH', ""It's lunch time #lox #music #slcechopark #echopark #lunch #coffeetime @ Street Level Cafe https://t.co/D0TkolfYgr"", 'Finally, the suns out #sunsoutbunsout #echopark #cali #girls #lifestyle #model #domsbutts @ Echo… https://t.co/4liSh2G6ZG']",topic 23
echostage_0,"['Get ready #DC for @21savage performing live at #echostage with liluzivert now for the biggest… https://t.co/smbHIrWAFT', 'Throwback to Alesso \r\n÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷÷\r\n#Alesso #Echostage #WashingtonDc #ClubGlow… https://t.co/SXHHqzl5JS', '#tbt to my first time at echostage #LICafterparty #LICrobot #firebeatz #FourYearsOfEcho @ Echostage https://t.co/1qGefB4OEH', ""But you already bought a ticket and there's no turning back now ? #crybabytour @ Echostage https://t.co/VjhDwc8W8C"", ""No Instagram filter can save this lighting, but I'm happy to be with my #1 since Day 1 @ Echostage https://t.co/1umq3Y6H3I"", 'Handsome Ghost opening for Melanie Martinez #CryBabyTour2016 @ Echostage https://t.co/Ti3Qotcqtf']",topic 19
eddie george_1,"['This #job might be a great fit for you: Cook- openings at various units; Bob Evans Express, Eddie George... - https://t.co/T0eOvNwO76', 'Can you recommend anyone for this #job? Cook - Eddie George Grill - https://t.co/zBfSPbNLSt #restaurantlife #Hospitality #Columbus, OH']",topic 8
edelman_1,"[""TBH he has a better passer rating than any other NE QB.\r\n\r\n“@DougKyed: There's your answer. Edelman is the third QB. https://t.co/yRFLAiuLrG”"", '#Edelman Hires Former Leo Burnett Exec, Moves Further Into Ad #Agency Territory https://t.co/xvC6021rnJ #marketing', 'Have I mentioned how much I love olive? Or man tailored shoes? Or Sam Edelman? These new Mocs… https://t.co/wTv2z0s7gt', 'Enjoying Thursday Night Football. Hopefully Edelman will do something... (@ Corks &amp; Taps - @corksandtapsny) https://t.co/f9aINF04z0']",topic 29
eglinton_0,"[""Lunch with the Miniatures (@ Peter's on Eglinton in Mississauga, ON) https://t.co/Ta5mONsvku https://t.co/puTCXboaJg"", 'Just another Sunday outside Good Game Bar at Yonge and Eglinton @ Good Game Bar and Lounge https://t.co/T9RaamGkyG', ""Just doin' what we do. @ Bathurst And Eglinton https://t.co/SfVCwDUl5R"", 'Impaired Driver | Danforth Rd &amp; Eglinton Ave E [43 Div.] 09/19 21:13 #Eglinton_East #Toronto', 'Are you ready for the winter ? @ Eglinton Ave W &amp; Scarlett Rd https://t.co/KrPkjzICXE', 'check out Ciao Europa uptown location, just south of Yonge &amp; Eglinton (beside Coquine).… https://t.co/fNdgFXwrS1', 'L O A D I N G  . . . @ Eglinton https://t.co/P56SqFND3T', 'MoVernie on the MOVE at The Eglinton Grand Bridal Show.\r\n.\r\n.\r\n#MoVernie #EglintonGrand… https://t.co/4XEi6lnqBn', 'Work buddies? #EG @ The Eglinton Grand Banquet Hall https://t.co/pV7x63Nvuk']",topic 1
eij16_1,"['used to be too little info in crises. In the last10 yrs social, mobile can be too much bad info. #EIJ16 @Internews https://t.co/wB3zpFjsju', 'And so it begins #Eij16 in #NewOrleans @spj_tweets @spj_tweets #partylikeajournalist #journalism… https://t.co/UF3E6KIpeD', ""I've been looking forward to this workshop at #EIJ16! Lawrence Carter-Long and his colleagues… https://t.co/f9W8zT3aHU"", ""Enjoying Excellence inJournalism 2016.  Tonight's reception sponsored by CNN #eij16 @ House of… https://t.co/cLIjn01pWE"", '14 years and counting. #BFF #EIJ16 #NewOrleans #NOLA #FollowYourNOLA #HouseofBlues… https://t.co/sFG5Pf30Hu', 'Hanging in NOLA with @inkstainedlife. Good friends, good times. #EIJ16 @ New Orleans, Louisiana https://t.co/EA5srU0ERS', ""Local food is the best food. #EIJ16 #NOLA #neworleans @ Mother's Restaurant https://t.co/3zojrefOPP"", ""Tonight's work dinner did not suck. #EIJ16 @ Brisbi's Lakefront… https://t.co/Yl2zLChcUa"", 'I was going to post a cool selfie, but I think this will suffice #EIJ16 @ Sheraton New Orleans… https://t.co/dHTASSqRZj', 'Hotel view from 18 floors up #timelapse #EIJ16 @ Canal Street, New Orleans https://t.co/rGh7XNaSZu', 'Cool shots at #EIJ16 | Photo creds: @hayley__harding @ Sheraton New Orleans Hotel https://t.co/vPS4kJXf4M', 'A perfect way to end our #NewOrleans trip! #FollowYourNOLA #NOLA #EIJ16 #jandbtakethebigeasy @… https://t.co/w0XchV4dPQ', ""It just wouldn't be #EIJ16 if my @spj_tweets friends didn't roll me around in a large box. @… https://t.co/G0h2VDkwrs""]",topic 19
el corazon_0,"['Forgot to shoutout to the crowd of Seattle! Much love. @ El Corazon https://t.co/Hc9pWYJxQb', 'The most musical of all stage monitors. @ El Corazon https://t.co/rX5zhAkzpZ', '#Rock and #fucking roll. (@ El Corazon for Haken + more in Seattle, WA) https://t.co/G0uNgzTG6n https://t.co/8hMByBYiQa']",topic 19
eldoradospring_0,"['Can you recommend anyone for this #job in #ElDoradoSprings, MO? https://t.co/kbneCkPS3s #SONIC #Hospitality #Hiring #CareerArc', 'See our latest #ElDoradoSprings, MO #job and click to apply: Assistant Manager - https://t.co/TLnZy0hx2o #Hiring https://t.co/uEga5QANIt', ""Want to work at Supplemental Health Care? We're #hiring in #ElDoradoSprings, MO! Click for details: https://t.co/6MXKK5tUix #Job #Nursing""]",topic 8
elleven45_0,"['#ELLEVEN45 on a Tuesday night?? #tacosandtequila #eachandeverytuesday hosted by @tmacc_oo @… https://t.co/GsHJxExPSH', 'Each &amp; every #Twosday 8PM in Buckhead!!!! #Tacos #Tequila\r\n????#elleven45 @AmnesiaEG @ Elleven45… https://t.co/pzqGjjaJVm']",topic 13
emmy_10,"[""Can you believe the Emmy's are tomorrow? A year ago I would have never believed that I'll be… https://t.co/OQjJTaeaTw"", ""Emmy's 2016 ?\r\n#QuintessentialGentleman\r\n#Emmys2016\r\n#VoiceOver\r\n#Talent\r\n#Producer @ Microsoft Theater https://t.co/yceBL8qQ8M"", '#Emmy #squad strong @ashleybernon marshamaclean emma_louise_calus emmys20l6 @ Microsoft Theater https://t.co/j4ql0DFe92', 'Gushing over @lavernecox who is dazzling in Hearts On Fire rings at the Emmys! #emmy #lavernecox… https://t.co/wZI9PWUP1p', 'Thank you EMMYS for liking my tweet .. how sweet ? #emmy #emmyawards emmyawards #natas… https://t.co/oMv0uoK2xk', 'She just won my #Emmy for best dressed #babybump ever. #emmys #emmyfashion #kerrywashington… https://t.co/XuNvokPN7X', ""Julia Louis-Dreyfus' Emmy win breaks an Emmy record https://t.co/rto1NgzEUq"", '@jimmykimmel tell your mom thanks, and no promises.\r\n#emmys #emmy #jimmysmom @ Microsoft Theater https://t.co/dlF0nT1qCJ', 'Red Carpet Ready at Emmy Awards ? #Emmys #Emmy #RedCarpet #Glam #Style #Fashion #Awards #DTLA… https://t.co/dW4zivpmtU', 'Congrats #susannebier for #emmy it was so nice to meet you yesterday #bestdirector… https://t.co/zxV3Q9xGK1', '""The People v. O.J. Simpson"" wins the Emmy for best limited series https://t.co/trUqXVzb28', 'Thank you @johnvarvatos for getting me ready for the @academy #emmy #redcarpet  You always make… https://t.co/wTfX8BSofI', 'Accepting his Emmy for “Transparent,” Jeffrey Tambor urges Hollywood to “give… https://t.co/mA8bVJ0JtV #Glass https://t.co/gFlubs57X4', '""Please tell me you\'re all seeing this too"" - #RamiMalek just won an Emmy!!!! @ Microsoft Theater https://t.co/USQ0zD3yUu', ""Amazing evening at the Emmy's with the best person I know ??? davesuchanek @angiecgi @ Microsoft… https://t.co/mYQ8oIyV1F"", ""#Emmy's #SundayFunday #Backstage with #ReginaKing #CongratsOnYourEmmy @ The 68th Primetime Emmy… https://t.co/qx2zQkeWSL"", 'And the #emmy goes to...GET OUTTA MY SHOT BOURDAIN. ? @ryanimay ?@Bourdain @ Emmy Awards https://t.co/Z059VHYwRE', 'Walked the Emmy awards red carpet so many incredible and talented people here  #emmy #emmys… https://t.co/6YxNYfTt2L', 'When your Bestie wins an Emmy you cry like a baby at the after party then you take a pic. Words… https://t.co/aosN02ooU4', 'Hangin at the #hboemmyparty with all my buds. Just ran out of doilies. Big party night! @ Emmy… https://t.co/Y83arhkt7m', 'TFW one of your most cherished friends wins an #emmy and you are feeling it head to toe.… https://t.co/SHXRcmRYyj', 'Took my mom to the 2016 Primetime Emmy Awards! I had the best date in the building! | Emmy… https://t.co/vXlFuqcfWH', ""The gorgeous Cassandra Plavoukos on her way to the Emmy's earlier wearing Rhett Eala #HBO #Emmys… https://t.co/VyN2ZE7mjW"", 'Epitome of Emmy Elegance.\r\n#AboutLastNight: #Actor, #Producer and #Emmy #Nominee… https://t.co/AySzfaM7Jl', '#emmys and everyone looks Fabulous hayesgrier @danfolger #emmy #whereisrobinflying #discoverla… https://t.co/X4Q0NrbL7G', 'Emmy night ! So much fun ? #emmy #emmys #emmys2016 #winner #emmywinner #thevoice #markburnett… https://t.co/WFV2BURyxV', 'Emmys Nature’s Elegance Themed Governors Ball ?? #Emmy #Emmys #RedCarpet #Glam #Style #Fashion… https://t.co/Wc3r6w71B3', '2016 Emmy Nominated Actress Michelle Ang from ""Fear The Walking Dead"" visited Zoan Ash Emmy… https://t.co/KAyC3KxBmm', 'Speaking of #Emmy wins, sanz.cristina of the award winning series Born This Way, won an Emmy… https://t.co/N7Van21mT0', ""Fab time last night at the Emmy's with my husband @davidiserson So proud of you, babe! @… https://t.co/S8PQe9Yzd6"", ""They must have lost my Emmy because they couldn't find the one with my name on it....I checked!… https://t.co/5sVfKKvH9S"", ""Another #emmys with @theinsider in the books! If I wasn't short enough, the Emmy makes me look… https://t.co/fR1bdF4RpN""]",topic 16
emmy_11,"[""#Emmy's: so happy to run into the beautiful Shanola Hampton from Shameless at the #Showtime pre-… https://t.co/xodRfiKA6W"", ""It's the #Emmys today. #fayedunaway  with her Emmy photographed at the #SunsetMarquis.Today our… https://t.co/iKSSgRkLat"", 'EMMY Sunday. Blissfully quiet in Beverly Hills. #sunday #emmy #emmys #notraffic #mydayinla… https://t.co/I1qh7FNVhf', '#congrats #emmy #nominees I got to hold this one for #inspiration #love #la #actress @ Hollywood https://t.co/WPCPa93vKz', 'And the Emmy goes to.....?\r\n.\r\n.\r\n#Emmys #TVAcademy #TelevisionAcademy #FilmChoreographer… https://t.co/8hM4d0iDv7', '#emmy #party #ball #possibilities #hbo @ West Hollywood, California https://t.co/9bU9M0KMun', 'I did not win an Emmy either. @ The Lot Studios https://t.co/7Y0gOqNtU4', ""Emmy's 2016! @ Sofitel Los Angeles at Beverly Hills https://t.co/MdC3abjf0v"", ""Girl if you're looking for your dress you left it right there on the red carpet at the HBO #Emmy… https://t.co/h3Xagsshnx"", 'amazon #amazon Emmy party with tv_bren and @Djsnice029 here  #emmy #emmys #party #partyhopping… https://t.co/UtyfhgsgV1', '@netflix #emmy #party w joekeery #amazingnite ?? strangerthingstv @ Neuehouse La https://t.co/N9uaQdRAV2', 'Give me a reason to dress up &amp; Im give you a reason to show up! ?? Still I Rise a #Emmy is on my… https://t.co/MuHVKq9j8R', ""What Emmy's ?? All across Los Angeles today...... #takethedayoff #eatyourfeelings #poolside @… https://t.co/va13q0zKRC"", ""#AMC #Emmy #Party. Weird to say but I'm glad it's Monday again! Shout out to the two best shows… https://t.co/k2oL1l6Orl"", 'Memories created,  captured and celebrated! The 2016 Primetime Emmy Awards w/ the clique! @ Emmy… https://t.co/2LyEct8Spt', 'Congrats to my man @lineageceo for winning an Emmy. #arod #emmy #baller @ Lineage Interactive https://t.co/dSsbg15joW', 'Check out these lovely ladies  from Showtimes Emmy Eve party at The Sunset Tower Hotel.… https://t.co/CcIj9rCpLk']",topic 29
